"","StartupName","name","designation","otherInfo","education","skills","markets"
"293","innovaccer-2","kanavhasija","Chief Strategy Officer","Founded @innovaccer; Studied at @Indian Institute of Technology - Kharagpur, @University of New Hampshire School of Law; Strong Patent IP Background (Scholar).","University of New Hampshire School of Law; Indian Institute of Technology - Kharagpur","","Data Mining; Data Analysis; Patents / IP; Machine Learning"
"294","innovaccer-2","sandeepkgupta","Chief Operations Officer","Founder @InnovAccer • Worked at @Microsoft, • Entrepreneur Partner @Ingersoll Rand• Studied at @Indian Institute of Management - Ahmedabad","Indian Institute of Management - Ahmedabad","Delhi",""
"295","langhar","karanpreetsingh","","Entrepreneur @Langhar @MITBOTS .Built games with 20M users @Octro.Program in Entrepreneurship from Stanford GSB.Product/Growth Advisor to startups.","","Product Development; E-Commerce; Product Marketing; Analytics; Growth Hacking; Mobile Games",""
"296","shareboard","divyanshusingh","","Founder @Shareboard • Studied at @Indian Institute of Technology (BHU) - Varanasi","Indian Institute of Technology (BHU) - Varanasi","Java; Computer Maths; Finance; SQL",""
"297","letscatchup","vinaypahlajani","Founder","Founder @LetsCatchup • Studied at @Indian Institute of Technology - Kanpur","Indian Institute of Technology - Kanpur","","Bengaluru; Mumbai; Pune; Chennai; Hyderabad; Delhi; Noida"
"298","embibe","aditiavasthi","","Director, Corporate Development, Mobile Commerce Business at Barclaycard US","","Video",""
"299","chaupaati-bazaar","kashyapdeorah","Founder","Chalo (acquired by OpenTable), Chaupaati Bazaar (acquired by Future Group), Righthalf.com (acquired by Stratify). IIT Bombay CS'00.","Indian Institute Of Technology - Bombay","Mumbai; India; San Francisco",""
"300","venturesity","prashantkoirala","","Co-founder VentureHire. 
 
Business Through Different Lenses. Past - Operations: @iddcr @Sleepcare India; Transaction Advisory: @Focus @Lexbridge; Investments: @American Capital @New Markets Venture Partners
 
Countries: US, India, China, Australia, Europe","University of Maryland, College Park","India; District of Columbia; Bengaluru; Hyderabad; Maryland",""
"301","appknox","subhohalder","","Mobile Security Researcher | Co-founder @Appknox | Speaker & Trainer @ International Security Conferences | Found security vulnerabilities in Google, Apple, PP","Kalinga Insitute of Industrial Technology","","Australia; United States; United Kingdom; Switzerland; Silicon Valley; Singapore"
"302","appknox","prateekpanda","CMO","Entrepreneur, Lover of Tech. Co-Founder & CMO @Appknox , Founder @TheTechPanda, MBA @ SPJIMR, Mumbai","S.P. Jain Institute Of Mangement And Research; Kalinga Insitute of Industrial Technology","","Business Strategy; Sales and Marketing; Product Management; Product Strategy; Digital Marketing"
"303","timesaverz","debaduttaupadhyaya","CEO","CEO Timesaverz. University topper. Leadership roles at start ups and Fortune 500 companies. Yahoo! Ratna and Axis Burgundy Achievers' Awardee.","","","Sales and Marketing; PL Management"
"304","timesaverz","lovnishbhatia","Founder","Co-Founder Timesaverz Dotcom Private Limited, a tech enthusiast and business development combination with a possessive power to persuade.","","","Technology; Business Development; Business Operations; Work-Flow Management; Training"
"305","teabox","kaushaldugar","Founder & CEO","CEO of Asianteaxpress Pte Ltd. Worked at KPMG Corporate Finance & Strategy, Citibank. Founded Entrepreneurship Society at University and an electronic recycling startup (failed).","Singapore Management University","",""
"306","frrole","amarpreetkalkat","CEO","Co-founder @Frrole. Has built 8 products, 3 from scratch. Trilogy alumni. IIM Kozhikode MBA 2004. Sportsman Sort. Till Messed With.","Indian Institute of Management - Calicut","","Product Management; Algorithms; Product Development"
"307","frrole","abhishekvaid","CTO","Researcher, Programmer, Developer in Computer Science. Co-Founder @Frrole","Indian Institute Of Information Technology And Management, Madhya Pradesh","","Python; Ruby on Rails; Ruby; C++; Core Java / Java SE; Machine Learning; Large Datasets, Data Mining; R; MongoDB; Git; Linux; Data Mining; Information Retrieval; Gamification; Algorithms; Genetic Algorithms; Artificial Intelligence; Artificial Neural Networks"
"308","frrole","nishithsharma","Co-Founder","IIM-K MBA, experienced across product management, digital marketing and software development. Expertise in building consumer, analytics and SaaS products.","Indian Institute Of Management Kozhikode","","Product Management; Business Strategy; GTM strategies; UI/UX Design; Digital Marketing; Product Marketing"
"309","evoleas","anthonyhsiao","","On a mission to build the best product and engineering team in Berlin • CEO @Productive Mobile","Imperial College London; ETH Zurich","","Technology; Web Development; Electrical Engineering; Ruby on Rails; Javascript; Product Management; Business Incubation; Business Strategy; Entrepreneurship; Recruiting; Team Building; Financial Modeling; Analytics & Reporting; Neuroscience; Leadership; Creative Problem Solving"
"310","evoleas","nickadams","","Entrepreneur, Lean VC, Managing Director @ AMECloudVC (@Jerry Yang's firm). 
Founder @Evoleas, @EnTrip • Studied at @Imperial College London. Experience in India & China. Fluent Mandarin Chinese.","Imperial College London","","Ruby on Rails; Ruby; PHP; SQL; Software Project Management; Product Development; Product Strategy; Product Marketing"
"311","kamraa","arjunkirpal","CEO & CTO","CEO/CTO at Comment.ws 
CEO/CTO at Kamraa.com 
Investment Analyst at bfinance (London office) 
Analyst at Satmetrix (London office) 
BA, University of Cambridge","University of Cambridge","","Programming; Product Management; Google Analytics; UI/UX Design; Node.js; SQL; Python; PHP; jQuery; AJAX; Amazon Web Services; Apache Solr; Bloomberg"
"312","inksedge-infotech","rohinichakravarthy","Founder & CEO","Founder, Inksedge. Enterprise Investor, Partner at NEA, Intel Capital, Angel @Fusion I-0, @Vuclip, @Jana Research @Innovium @Tynker @weddingpartyap","MIT Sloan School of Management; Indian Institute of Technology - Madras","Product Strategy; Business Model Innovation; Team Building","Big Data; Mobile Commerce; Wireless; Cloud Computing; Emerging Markets; Storage; Advertising; Retail; Financial Services; Mobile; Consumer Internet; Enterprise Software"
"313","ozonetel-systems","murthychintalapati","","Founder & CEO @Ozonetel, Masters in EE @Iit Delhi backed by 25+ years experience across Networking, Telecom, Semiconductor with 15+ yrs of Entrepreneurial DNA.","","","Building Start Ups; Team Building; Bootstrapping; Go to Market Strategy"
"314","ozonetel-systems","atulsharma","","Co Founder, @Ozonetel Systems. 
Product architect behind the KooKoo Cloud Platform,14+ years of experience in building solutions in enterprise telecom space.","","","Hyderabad"
"315","cookifi","ajaymodani","Founder","Founder @Capillary Technologies","Indian Institute of Technology - Kharagpur ( IIT Kharagpur)","Asia; New York City; Silicon Valley; India; Bengaluru",""
"316","browntape-1","piyushgoel","Co-Founder & Lead designer","CoFounder & Product Head @ Browntape • Worked at @Sun Microsystems, @Dotahead • Studied at @University of Leeds, @University of Portsmouth","University of Portsmouth; University of Leeds","",""
"317","onlinetyari-com","vipinagarwal","CEO","co-Founder, CEO @OnlineTyari","Indian Institute of Technology - Kanpur; Indian Institute of Management - Ahmedabad","",""
"318","onlinetyari-com","bholameena","CTO","Founder & CTO OnlineTyari.com","Indian Institute of Technology - Kanpur","India; Gurgaon",""
"319","netskope","raviithal","Founder","Founder@Netskope. SW Engineer by profession and passion.","Purdue University","Asia; New York City; Silicon Valley",""
"320","bobble-app","ankitprasad","Founder","Founder & CEO @Bobble Keyboard, @TouchTalent • Mathematics & Computing @Indian Institute of Technology - Delhi • Youth Speaker @TEDx • Winner @GSEA • A Kairos Fellow","Indian Institute of Technology - Delhi","","Consumer Internet; Mobile"
"322","bobble-app","mohdwassem","Founder","Founder @Bobble Keyboard @TouchTalent • Worked at @Deloitte Consulting, @Mercer Management Consulting • Studied at @Delhi School Of Economics","Delhi School Of Economics","",""
"324","hyperverge","saivenkateshashokkumar","","","Iit Madras","","Node.js; MEAN Stack; Back-End Development; Databases; Python; Machine Learning"
"325","gingr","himanshubamoria","","Founder @Gingr, Gingr • Worked at @BoozePanda • Studied at @Indian Institute of Technology - Delhi","Indian Institute of Technology - Delhi","",""
"326","vacation-labs","saurabhnanda","Co-founder","Founder at Vacation Labs; Early member of Team @Cleartrip -- managed technology, product strategy & digital marketing; studied at IIT Kanpur","Indian Institute of Technology - Kanpur","",""
"327","dataweave","karthikbr","","Co-founded @DataWeave. 
Information retrieval expert. 
MTech (IIIT-B)","","","India; Silicon Valley; Bengaluru; Europe"
"328","doselect","sanketsaurav","Founder","Co-founder, DoSelect, Inc.","National Institute Of Technology, Jamshedpur","Product Development; UI/UX Design; Product Design; Software Architecture","Recruiting; SaaS"
"329","doselect","rohittirkey","Founder","Co-founded @DoSelect","National Institute Of Technology, Jamshedpur","","Bengaluru"
"330","paysack","rickyjacob","","Founder @Paysack • Worked at @Google • PhD in Mobile Location Based Services from @Maynooth National University Of Ireland","Maynooth National University Of Ireland","India",""
"331","paysack","nickyjacob","Founder","Love consumer focused technology 
Focused on business which makes the daily life of the people more easy","Mahatma Gandhi University; Bachelor Of Technology","","Team Building; Product Development; Mobile Development; Electronics; Management; Project Management; Instrumentation; Troubleshooting"
"332","incrowd-loyalty","nirajsheth","Founder","founder @codelympics • previously @IFTTT, @Wall Street Journal • schooled at @Stanford University","Stanford University","",""
"333","evavizzi","rabigupta","Founder, Designer & Product manager","CEO of @Eva. New Delhi to San Francisco. Previously built and sold @iCouchApp (1.5Mn+ active users, $75k in annual revenues). CNBC Young Turk. Hustler.","Bit, Meerut","","Consumer Products; Mobile; Connecting the Dots; Team Building; Leadership; Managing and Motivating Teams; Creative Problem Solving; User Experience Design; Product Management; Fund Raising; Relationship Building"
"334","evavizzi","rabigupta","Founder, Designer & Product manager","CEO of @Eva. New Delhi to San Francisco. Previously built and sold @iCouchApp (1.5Mn+ active users, $75k in annual revenues). CNBC Young Turk. Hustler.","Bit, Meerut","Consumer Products; Mobile; Connecting the Dots; Team Building; Leadership; Managing and Motivating Teams; Creative Problem Solving; User Experience Design; Product Management; Fund Raising; Relationship Building",""
"335","evavizzi","satwicksaxena","Founder","At Vizzi, we are building a bot that brings people together through gifting. Just CC Eva on mail & a gift arrives at the recipients' doorstep!","Uttar Pradesh Technical University","","Digital Marketing Strategy; Mobile Marketing; Digital Media; Digital Media Strategy; Product Development; User Experience Design; Business Development; Team Building; Cross-Functional Team Leadership; Business Strategy; Entrepreneurship; Innovation & Growth; Growth Strategy and Execution; Consumer Experience; Marketing"
"336","evavizzi","ashishkumar","Founder","10+ years of experience in software project management, solution architecture, software architecture & design, software development, deployment and support.","Netaji Subhas Institute of Technology","","Gurgaon"
"337","evavizzi","ashishkumar","Founder","10+ years of experience in software project management, solution architecture, software architecture & design, software development, deployment and support.","Netaji Subhas Institute of Technology","Gurgaon",""
"338","inc42","poojasareen","","Co-founder @Inc42 Media, Ex @iamwire","","Asia; New York City; Silicon Valley",""
"339","swym","arvindkrishnan","CEO","Founder @Swym (Techstars '17) • Worked at @Microsoft, @Yahoo • Studied at @Georgia Institute of Technology, @Indian Institute of Technology - Madras","Georgia Institute of Technology; Indian Institute of Technology - Madras","Product Development; Product Management; Mobile; Cloud Computing; Databases; Search Engine Marketing (SEM); Mobile Application Design","Mobile; Advertising; Search Marketing; Retail Technology; Email Marketing"
"340","livspace-1","ramakantsharma","Founder","","Indian Institute of Technology - Kanpur; Indian School of Business, Hyderabad","Bengaluru",""
"341","livspace-1","ramakantsharma","CTO","","Indian Institute of Technology - Kanpur; Indian School of Business, Hyderabad","Bengaluru",""
"342","magicx","pratyushprasanna","","Founder at Magictiger, Former VP at Paytm after acquisition of Plustxt 
Angel investor 
Founder @Plustxt • @SMSGupshup @Microsoft, @Xerox IIT Kharagpur, IIM C","Indian Institute of Technology - Kharagpur; Indian Institute of Management - Calcutta","",""
"343","magicx","pratyushprasanna","","Founder at Magictiger, Former VP at Paytm after acquisition of Plustxt 
Angel investor 
Founder @Plustxt • @SMSGupshup @Microsoft, @Xerox IIT Kharagpur, IIM C","Indian Institute of Technology - Kharagpur; Indian Institute of Management - Calcutta","Asia; Silicon Valley; Bengaluru",""
"344","octomatic","akshayaaron","","Co-Founder @Octo.ai • Product, Nerd • Worked at @SAP Labs • Computer Science Engineer","Manipal Institute Of Technology","",""
"345","minjar","anandanand","","President of Minjar. 4th startup. Running Kuliza for the last 6 years, incubated Minjar. Helping setup great team to grow Minjar into a large business.","Indian Institute of Technology - Delhi","",""
"346","webchutney","sidharthrao","","CEO and Co-Founder, Webchutney","","India; Mumbai",""
"347","yumist","alokjain","Founder","4x Entrepreneur. Ex CMO @ Zomato. Now building Yumist.","Goa Institute of Management; Hindu College; University of Tulsa","",""
"348","cooolio-online","gappanannamalai","Founder and CEO","Founder & CEO of Cooolio Online Pvt. Ltd.Tech Start up mode; Strong in Strategy, Digital Media and Mobile Technology (Past: GE Capital & Aol. Asia). Education: Ohio State University, 2004 and ISB, Hyderbad 2010.","Indian School of Business, Hyderabad; Ohio State University","","Business Strategy; Sales and Marketing; Market Entry Strategy; New Product Marketing; Mobile; Startup Founder; Managing Startups; Operations Management; Business Operations; Social Media; Web Analytics"
"349","myrefers","lalitbhagia","","Founder @Myrefers • Worked at @Digitas, @STAR TV (News Corp) • Studied at @IIM C. Built & scaled large digital businesses and products over my 14+ yrs exp.","IIM C; Bharti Vidyapeeth Deemed University; University Of Mumbai","",""
"350","creotech","shubhmalhotra","","Founder @CREO • Worked at @Capillary Technologies, @Bharti SoftBank • Studied at @BITS Pilani","BITS Pilani","",""
"351","creotech","saisrinivaskirang","","Launched 2 Successful Mobile Apps with a proven track record as a successful Product Manager. IIT Kanpur Grad & Past Experience as Designer and PM @ Zynga.","Indian Institute of Technology - Kanpur","",""
"352","gamezop","yashashagarwal","Founder","• Co-founder at Gamezop • Forbes' 30 Under 30 Asia • Duke of Edinburgh award • Won 8 national-level Bplan events","Shri Ram College Of Commerce","",""
"353","gamezop","yashashagarwal","Founder","• Co-founder at Gamezop • Forbes' 30 Under 30 Asia • Duke of Edinburgh award • Won 8 national-level Bplan events","Shri Ram College Of Commerce","Social Media Marketing; Web Analytics; Online Marketing; Graphic Design; Public Speaking; Business Development; Business Strategy",""
"354","wizenworld","deepakjoycheenath","","Founder Quizizz • Worked at @Amazon • Volunteer Teacher • Studied at @Birla Institute of Technology and Science","Birla Institute of Technology and Science","",""
"355","redlock","varunbadhwar","","Cofounder at CipherCloud; Enterprise Technology Executive, Entrepreneur, Investor & Advisor","University of Southern California","","Consulting; Financial Services; Marketing Management; Microsoft Access; Product Development; Product Marketing; Sales; Security; Software; Technical Sales"
"356","redlock","varunbadhwar","","Cofounder at CipherCloud; Enterprise Technology Executive, Entrepreneur, Investor & Advisor","University of Southern California","Consulting; Financial Services; Marketing Management; Microsoft Access; Product Development; Product Marketing; Sales; Security; Software; Technical Sales",""
"357","vidooly","subratkar","Product & Business Guy","Entrepreneur | Product Manager | Marketer","University Institute Of Technology, Rgpv Bhopal","",""
"358","buffalogrid","danielfogg","Chief Operations Officer","COO @BuffaloGrid, the mobile power and internet service for the off-grid world. Previously Graftt, IsobarMENA, Ardan & Track24. Emerging tech, emerging markets.","","London; New Delhi",""
"359","lazylad","saurabhsingla","CEO","Co-founder @HealSol","Indian Institute of Technology - Guwahati; St Xavier's High School; Indian Institute Of Technology","","Palo Alto; San Francisco Bay Area; San Francisco; Chandigarh"
"360","lazylad","saurabhsingla","CEO","Co-founder @HealSol","Indian Institute of Technology - Guwahati; St Xavier's High School; Indian Institute Of Technology","Palo Alto; San Francisco Bay Area; San Francisco; Chandigarh",""
"361","shadowfax","vaibhavkhandelwal","","Founder @Shadowfax • Filed patent at @Adobe Systems • Studied at @Indian Institute of Technology - Delhi","Indian Institute of Technology - Delhi","",""
"362","loan-frame","akshungulati","Founder","","Indian School of Business, Hyderabad; Indian Institute of Technology - Delhi","",""
"363","cloud-lending-1","snehalfulzele","","Co-Founder & CEO, Cloud Lending Inc • Worked at @oracle-corporation, @Adobe Systems • Studied at @Carnegie Mellon University","Carnegie Mellon University","",""
"364","cloud-lending-1","darpansaini","Founder","Founder Cloud Lending Inc","Carnegie Mellon University","",""
"365","stay-incredible-be-amazed","mihirsatam","","Director & Managing Actor @Stay Incredible Be Amazed","","Asia; Mumbai",""
"366","letzchange","vikrantbhargava","Founder","Entrepreneur, investor","","United States; Europe; Israel; India; United Kingdom",""
"367","zipgo","priteshgupta","","Co-founder, Zipgo; Previously @TinyOwl Technology @Olacabs ; Founder, @Rights Reality, a technology focused patent licensing firm; Ex-Samsung; B.Tech IIT.","Indian Institute of Technology - Kharagpur","Fund Raising; Entrepreneurship; Business Development; Business Strategy; Corporate Strategy; Sales and Marketing; Product Marketing","India; Singapore"
"368","zipgo","priteshgupta","","Co-founder, Zipgo; Previously @TinyOwl Technology @Olacabs ; Founder, @Rights Reality, a technology focused patent licensing firm; Ex-Samsung; B.Tech IIT.","Indian Institute of Technology - Kharagpur","India; Singapore",""
"369","rail-yatri","sachinsaxena","Founder","","","Asia; New York City; Silicon Valley",""
"370","hashlearn","jayadevgopalakrishnan","","Founder @HashLearn • President-Retail Education @Pearson • CEO @Tandem (acq. by Manipal K12 / @Pearson) • Co-founder/CEO @Tinfo Mobile • 14 years in edu.","Institute For Financial Management And Research Nungambakkam, Chennai","","Technology in Education; Sales and Marketing; Product Development"
"371","hashlearn","jayadevgopalakrishnan","","Founder @HashLearn • President-Retail Education @Pearson • CEO @Tandem (acq. by Manipal K12 / @Pearson) • Co-founder/CEO @Tinfo Mobile • 14 years in edu.","Institute For Financial Management And Research Nungambakkam, Chennai","Technology in Education; Sales and Marketing; Product Development",""
"372","hashlearn","gokuljanga","","CTO @HashLearn, ex-Country Head (Engg) @Aventail (acq. by SonicWall); M.S Comp Sci @Utah State University.","Utah State University","","Full-stack web developer; Ruby on Rails; Java; Javascript; PostgreSQL; Redis; Product Development; Engineering Management; Software Architecture"
"373","hashlearn","gokuljanga","","CTO @HashLearn, ex-Country Head (Engg) @Aventail (acq. by SonicWall); M.S Comp Sci @Utah State University.","Utah State University","Full-stack web developer; Ruby on Rails; Java; Javascript; PostgreSQL; Redis; Product Development; Engineering Management; Software Architecture",""
"374","moengage","yashwanthkumar","","CSE B.Tech from IIT Kharagpur; Worked at IBM, Mentor Graphics; 1st startup during college; Stackoverflow contributor.","Indian Institute of Technology - Kharagpur","",""
"375","moengage","yashwanthkumar","","CSE B.Tech from IIT Kharagpur; Worked at IBM, Mentor Graphics; 1st startup during college; Stackoverflow contributor.","Indian Institute of Technology - Kharagpur","Bengaluru; Kharagpur; Kadapa",""
"376","voonik","sujayathali","","Co-founder & CEO of Voonik • Worked at @Amazon, @Visa • Studied at @indian School of Business, Hyderabad","Indian School of Business, Hyderabad","",""
"377","ridingo","srivatsanmohan","Tech Lead","Founder @Ridingo • Worked at @Verizon, @Hewlett-Packard Labs","Anna University","","Java; Javascript; Python; Cloud Computing; Android; Lua; Web Development; Databases; IBM MQ; Google App Engine; Amazon Web Services; Architect; Budgeting; C#; Hibernate; HTML; jQuery; Management; Mvc; MySQL; People Management; Product Development; Product Management; Project Planning; Retail; Spring; SQL; Vendor Management; Workflow Management"
"378","ridingo","srivatsanmohan","Tech Lead","Founder @Ridingo • Worked at @Verizon, @Hewlett-Packard Labs","Anna University","Java; Javascript; Python; Cloud Computing; Android; Lua; Web Development; Databases; IBM MQ; Google App Engine; Amazon Web Services; Architect; Budgeting; C#; Hibernate; HTML; jQuery; Management; Mvc; MySQL; People Management; Product Development; Product Management; Project Planning; Retail; Spring; SQL; Vendor Management; Workflow Management","SaaS; Mobile; Consumer Internet; Social Media"
"379","cuztomise","mohitjain","","Founder & CEO Cuztomise, Ex CTO at Oravel, Founder & Director Codeautomations. Serial Entrepreneur, Product Geek and Technology Evangalist. Georgia Tech grad","Georgia Institute of Technology; Devi Ahilya Vishwa Vidyalaya","","Python; PHP; Hadoop; Big Data; Analytics & Reporting; Social Media Strategy; HTML; Javascript; CSS; Java; Team Building; Leadership; Data Mining"
"380","cuztomise","mohitjain","","Founder & CEO Cuztomise, Ex CTO at Oravel, Founder & Director Codeautomations. Serial Entrepreneur, Product Geek and Technology Evangalist. Georgia Tech grad","Georgia Institute of Technology; Devi Ahilya Vishwa Vidyalaya","Python; PHP; Hadoop; Big Data; Analytics & Reporting; Social Media Strategy; HTML; Javascript; CSS; Java; Team Building; Leadership; Data Mining",""
"381","healthkartplus-1","prashanttandon","","Founder HealthKart, HealthKartPlus • Worked at @McKinsey & Company, @Unilever • Studied at @Stanford Graduate School of Business, @Indian Institute of Technology - Delhi","Indian Institute of Technology - Delhi; Stanford Graduate School of Business","","Internet; Mobile; Building Great Teams"
"382","healthkartplus-1","prashanttandon","","Founder HealthKart, HealthKartPlus • Worked at @McKinsey & Company, @Unilever • Studied at @Stanford Graduate School of Business, @Indian Institute of Technology - Delhi","Indian Institute of Technology - Delhi; Stanford Graduate School of Business","Internet; Mobile; Building Great Teams","Consumer Internet; Health Care"
"383","curofy","nipungoyal","","Founder @Curofy | B.Tech @Indian Institute of Technology - Delhi | Worked at @Rothschild | Led a team of 200 members in a college start-up","Indian Institute of Technology - Delhi","",""
"384","desidime","jimishjobanputra","","Co-Founder and CTO of @DesiDime; Entrepreneur; Senior Developer at @Enova; MS in CS at University of Illinois;","","Deals; Social Commerce; Coupons; Financial Services; Lead Generation; Forums",""
"385","desidime","jimishjobanputra","","Co-Founder and CTO of @DesiDime; Entrepreneur; Senior Developer at @Enova; MS in CS at University of Illinois;","","Ruby; Agile Project Management; Entrepreneurship; Software Engineering","Deals; Social Commerce; Coupons; Financial Services; Lead Generation; Forums"
"386","desidime","mehuljobanputra","","CEO & Co-Founder of @DesiDime, Cuelinks & @Zingoy Strong business background , Masters in Management, Bachelors in Engineering","","","India; Eastern Europe; Asia; Australia; Mumbai"
"387","desidime","mehuljobanputra","","CEO & Co-Founder of @DesiDime, Cuelinks & @Zingoy Strong business background , Masters in Management, Bachelors in Engineering","","India; Eastern Europe; Asia; Australia; Mumbai",""
"388","wishberry","anshulikadubey","Founder","","","Clean Technology; Consumer Internet; Enterprise Software; Mobile; Health Care",""
"389","unacademy","gauravmunjal","","Co-Founder and CEO Unacademy, Co-Founder and Advisor Flatchat; Founded Flat.to - sold to CommonFloor in 2014.","NMIMS University","",""
"390","unacademy","gauravmunjal","","Co-Founder and CEO Unacademy, Co-Founder and Advisor Flatchat; Founded Flat.to - sold to CommonFloor in 2014.","NMIMS University","Mumbai",""
"391","unacademy","sachingupta","Head of Engineering","Co-Founder & Head of Engineering @unacademy-1","Indian Institute Of Technology - Roorkee","","C; C++; Python; Django; HTML; CSS; jQuery; CUDA Experience; C Sharp (C#); Matlab; Node.js; Git; Unix; AJAX; MySQL"
"392","unacademy","sachingupta","Head of Engineering","Co-Founder & Head of Engineering @unacademy-1","Motilal Nehru National Institute Of Technology","",""
"393","unacademy","sachingupta","Head of Engineering","Co-Founder & Head of Engineering @unacademy-1","Motilal Nehru National Institute Of Technology","Python; Django; jQuery",""
"394","betterbutter-1","niyazlaiq","","Founder @BetterButter • Worked at @Hermes GPE, @Lok Capital","School of Oriental and African Studies","",""
"395","bonfleet","alihafizji","Founder","iOS developer by day and Android developer by night. CS grad from India living in a tiny city called Pune","Pune Institute of Computer Technology","","Pune; San Francisco"
"396","bonfleet","alihafizji","Founder","iOS developer by day and Android developer by night. CS grad from India living in a tiny city called Pune","Pune Institute of Computer Technology","Pune; San Francisco",""
"397","mavenhive","bhavinjavia","","Founder @MavenHive • Worked at @ThoughtWorks • Studied at @PESIT","PESIT","","SaaS; Web Development; Consumer Internet; Cloud Computing"
"398","mavenhive","bhavinjavia","","Founder @MavenHive • Worked at @ThoughtWorks • Studied at @PESIT","PESIT","SaaS; Web Development; Consumer Internet; Cloud Computing",""
"399","reglobe","nakulkumar","","Founder ReGlobe • Studied at @Panjab University, @Mdi Gurgaon","Mdi Gurgaon; Panjab University","",""
"400","whatfix","khadimbatti","Co-founder & CEO","Founder @Whatfix • Worked at @Huawei • Studied at @Indian Institute Of Information Technology – Bangalore","Indian Institute Of Information Technology – Bangalore","","Earth"
"401","whatfix","khadimbatti","Co-founder & CEO","Founder @Whatfix • Worked at @Huawei • Studied at @Indian Institute Of Information Technology – Bangalore","Indian Institute Of Information Technology – Bangalore","Earth",""
"402","whatfix","varakumar","","Founder & hacker at @Whatfix. Whatfix is an awesome alternative to text & video articles. Earlier founded @SearchEnabler.","JNTU College of Engineering Hyderabad","","Clean Technology; Consumer Internet; Enterprise Software; Mobile; Health Care"
"403","whatfix","varakumar","","Founder & hacker at @Whatfix. Whatfix is an awesome alternative to text & video articles. Earlier founded @SearchEnabler.","JNTU College of Engineering Hyderabad","Clean Technology; Consumer Internet; Enterprise Software; Mobile; Health Care",""
"404","awaaz-de","tapanparikh","","Assistant Professor at UC @university-of-california-berkeley","Brown University; University of Washington","",""
"405","orobind","satyavyas","Founder, CEO","Studied at @Indian Institute Of Technology - Roorkee","Indian Institute Of Technology - Roorkee","",""
"406","timescape","somnathray","CEO","Cofounder | CEO @TIMESCAPE 
from @Massachusetts Institute of Technology | Media Lab & @Columbia University University","Massachusetts Institute of Technology; Columbia University; Mit Media Lab","","Product Development; User Experience Design; Sales and Marketing; Design"
"407","timescape","somnathray","CEO","Cofounder | CEO @TIMESCAPE 
from @Massachusetts Institute of Technology | Media Lab & @Columbia University University","Massachusetts Institute of Technology; Columbia University; Mit Media Lab","Product Development; User Experience Design; Sales and Marketing; Design","Data Visualization; Digital Storytelling; Education"
"408","canvasflip-1","vipulmishra","Founder","Making world a better place by helping design and product teams to create awesome experience!!
 
Founded CnavasFlip, Yougle.in, FbViralVideos.com, MyWayApp.","","San Francisco; New York City; Silicon Valley",""
"409","springboard-financial-services","mihirsheth","","Founder Springboard Financial Services • Worked at @Lehman Brothers, @Nomura • Studied at @Harvard University","Harvard University","",""
"410","stayglad","kavishdesai","Founder","","Indian Institute of Technology - Kharagpur","",""
"411","avaz","ajitnarayanan","","Founder/CEO Invention Labs/Avaz. MIT TR35 Awardee, TED Speaker, 23 patents • Worked at AMI in the Silicon Valley, studied EE at IIT Madras (2003)","Indian Institute of Technology - Madras","",""
"412","avaz","ajitnarayanan","","Founder/CEO Invention Labs/Avaz. MIT TR35 Awardee, TED Speaker, 23 patents • Worked at AMI in the Silicon Valley, studied EE at IIT Madras (2003)","Indian Institute of Technology - Madras","San Francisco Bay Area; Chennai",""
"413","valencia-nutrition","deepthianand","Founder","Founder Valencia Nutrition. 12+ years of top management exposure at early stage companies. Strong background in pharmaceuticals and healthcare.","","Bengaluru",""
"414","greenlight-planet","anishthakkar","","Co-Founder & CEO @Greenlight Planet.","University of Illinois, Urbana, Champaign","",""
"415","perfectcloud","mayukhgon","","Founder and CEO at @PerfectCloud","","Toronto",""
"416","perfectcloud","sabi","","Founder @PerfectCloud • Studied at @Thunderbird School of Global Management, @Assumption University","Thunderbird School of Global Management; Assumption University","",""
"417","wisetouch","muditseth","","Serial Entrepreneur. Buit and sold company. 
Angel Investor.","","","San Francisco; India; Silicon Valley"
"418","moonfrog-labs","tanaytayal","","Founder @Moonfrog Labs 
Product Manager · Producer · Marketing · Designer · Developer 
@INSEAD, @Pune Institute of Computer Technology","INSEAD; Pune Institute of Computer Technology","",""
"419","moonfrog-labs","tanaytayal","","Founder @Moonfrog Labs 
Product Manager · Producer · Marketing · Designer · Developer 
@INSEAD, @Pune Institute of Computer Technology","INSEAD; Pune Institute of Computer Technology","Product Management; Product Marketing; Game Production; Product Development",""
"420","plustxt","pratyushprasanna","","Founder at Magictiger, Former VP at Paytm after acquisition of Plustxt 
Angel investor 
Founder @Plustxt • @SMSGupshup @Microsoft, @Xerox IIT Kharagpur, IIM C","Indian Institute of Technology - Kharagpur; Indian Institute of Management - Calcutta","",""
"421","plustxt","pratyushprasanna","","Founder at Magictiger, Former VP at Paytm after acquisition of Plustxt 
Angel investor 
Founder @Plustxt • @SMSGupshup @Microsoft, @Xerox IIT Kharagpur, IIM C","Indian Institute of Technology - Kharagpur; Indian Institute of Management - Calcutta","Asia; Silicon Valley; Bengaluru",""
"422","plustxt","lohithv","","","Shri Jaya Chamarajendra College Of Engineering, Mysore","",""
"423","swiggy","rahuljaimini","Founder","","Indian Institute of Technology - Kharagpur","",""
